Player,Team,GP,W,L,MIN,"Passes
Made","Passes
Received",AST,"Secondary
AST","Potential
AST","AST PTS
Created","AST
Adj",TOUCHES,"Avg Sec Per
Touch","Avg Drib Per
Touch"
Shai Gilgeous-Alexander,OKC,56,16,40,34.7,50.8,67.9,5.9,0.7,13,15.3,7.3,78.3,5.6,5.11
Tre Mann,OKC,60,17,43,22.8,22.9,27.5,1.5,0.2,3,3.5,1.7,35.1,3.47,2.97
Vit Krejci,OKC,30,8,22,23,26.2,25.4,1.9,0.3,4.2,4.8,2.3,33.5,2.62,1.93
Chuma Okeke,ORL,70,21,49,25,27,20.4,1.7,0.2,3.4,4.3,2,37.2,2.18,1.48
Cole Anthony,ORL,65,18,47,31.7,55,63.9,5.7,0.7,11.1,14.6,6.7,76.2,4.99,4.41
Franz Wagner,ORL,79,21,58,30.7,29.8,33.2,2.9,0.3,5.6,7.5,3.5,46.5,3.08,2.37
Gary Harris,ORL,61,16,45,28.4,17.8,23.8,1.8,0.3,3.8,4.4,2.1,29.2,2.55,1.78
Jalen Suggs,ORL,48,16,32,27.2,42.6,46.9,4.4,0.3,8.2,11.5,5.1,60.8,4.09,3.49
Mo Bamba,ORL,71,19,52,25.7,26.8,19.3,1.2,0.1,2,3,1.3,37.6,1.65,0.49
R.J. Hampton,ORL,64,15,49,21.9,28.3,28.9,2.5,0.2,6.1,6.9,3,38.7,3.96,3.45
Terrence Ross,ORL,63,14,49,23,17,21.4,1.8,0.2,3.7,4.7,2.3,28.8,2.71,1.79
Wendell Carter Jr.,ORL,62,16,46,29.9,45.5,35.9,2.8,0.2,5.1,7,3.1,60.6,1.75,0.5
Danny Green,PHI,62,37,25,21.8,21.4,15.4,1,0.2,1.7,2.7,1.3,27.8,1.48,0.58
Furkan Korkmaz,PHI,67,44,23,21.1,22.2,24.8,1.9,0.2,3.4,4.9,2.3,31.5,3.01,2.54
Georges Niang,PHI,76,48,28,22.8,27.8,20.2,1.3,0.2,2.6,3.5,1.7,37,1.56,0.64
James Harden,PHI,65,40,25,37.2,64.2,73.8,10.3,1,18.4,25.7,12.4,91.3,6.04,5.05
Joel Embiid,PHI,68,45,23,33.8,46.2,54.5,4.2,0.6,7,10.6,4.9,76.1,2.67,1.41
Matisse Thybulle,PHI,66,43,23,25.5,16,13.5,1.1,0.2,1.9,3.1,1.5,21.9,1.28,0.54
Shake Milton,PHI,55,34,21,21.4,29.9,33.3,2.5,0.4,5.1,6.6,3.2,40,4.16,3.58
Tobias Harris,PHI,73,45,28,34.8,45.5,42,3.5,0.6,6.5,9.2,4.5,63.7,2.93,2
Tyrese Maxey,PHI,75,45,30,35.3,61.1,67.2,4.3,0.5,7.6,11.2,5.2,78.6,4.45,3.81
Cameron Johnson,PHX,65,49,16,26.1,22,21.3,1.5,0.2,3.2,3.6,1.7,33.3,1.71,1.01
Cameron Payne,PHX,57,45,12,22.1,37.9,41.8,4.9,0.6,8.9,12.6,5.9,52,5.28,4.47
Chris Paul,PHX,64,52,12,32.9,56.9,61.9,10.8,1,19.6,27.2,13.1,75,5.88,5.21
Deandre Ayton,PHX,58,46,12,29.5,27.9,22.2,1.4,0.2,2.1,3.9,1.8,42.6,1.54,0.41
Devin Booker,PHX,67,55,12,34.5,28.2,47.3,4.9,0.8,8.4,11.8,5.7,56.2,4.48,3.65
Jae Crowder,PHX,67,54,13,28.1,36.5,23.1,1.9,0.2,3.2,4.6,2.3,46.4,1.44,0.52
Landry Shamet,PHX,69,53,16,20.8,16.7,18.6,1.6,0.2,3,4,2,25.2,2.13,1.65
Mikal Bridges,PHX,81,63,18,34.8,23.6,24.6,2.3,0.3,4.4,5.6,2.8,36.3,1.75,1
Torrey Craig,PHX,78,36,42,20.5,20.1,16.3,1.2,0.1,2.2,3.2,1.5,27.3,1.84,0.89
Anfernee Simons,POR,57,25,32,29.5,42.2,52.8,3.9,0.6,8.4,10.3,5,61.3,5.2,4.62
Ben McLemore,POR,64,20,44,20.1,16.8,20.6,0.9,0.3,1.6,2.4,1.2,27.3,1.77,0.93
CJ Elleby,POR,58,17,41,20.2,17,14.3,1.5,0.1,2.8,3.7,1.8,24.4,2.35,1.53
Damian Lillard,POR,29,12,17,36.4,53.8,71.6,7.3,1.3,13.3,19.1,9.6,82.1,5.29,4.75
Eric Bledsoe,POR,53,27,26,25,41.5,43.9,4.2,0.5,8.4,11.1,5.1,55.2,4.59,3.92
Joe Ingles,POR,45,28,17,24.9,35.6,33.2,3.5,0.3,6.9,9.7,4.4,44,2.97,1.93
Josh Hart,POR,53,19,34,33.1,39.8,37.2,4.2,0.4,8.5,10.6,5,56.3,2.96,2.11
Jusuf Nurkic,POR,56,25,31,28.2,42.4,34.3,2.8,0.3,5.4,7.5,3.3,58.8,1.85,0.74
Nassir Little,POR,42,19,23,25.9,22.2,19.1,1.3,0.1,2.8,3.6,1.5,32.7,2.07,1.19
Chimezie Metu,SAC,59,22,37,21.6,23.5,18.1,1,0.1,1.8,2.7,1.3,33.6,1.78,0.74
Davion Mitchell,SAC,74,27,47,27.7,34.9,42.7,4.2,0.5,7.8,10.8,5,49.6,4.64,4.52
De'Aaron Fox,SAC,58,21,37,35.4,55.7,69,5.5,0.7,10.9,14.1,6.8,82.8,4.57,4.04
Domantas Sabonis,SAC,62,21,41,34.4,59.5,48,5.2,0.3,9.4,13.4,5.8,78.6,2.22,1.25
Donte DiVincenzo,SAC,42,21,21,23.9,30.3,29.3,2.8,0.5,4.8,7.2,3.9,41.9,3.04,2.32
Harrison Barnes,SAC,76,26,50,33.6,31.3,27.3,2.4,0.3,4.1,5.9,2.8,46.8,2.27,1.3
Justin Holiday,SAC,74,25,49,27.8,22.8,26.4,1.7,0.3,2.9,4,2.1,33.9,1.53,0.82
